province;red;green;blue;x;x
1;128;34;64;Stockholm;x##wasteland prov
2;0;36;128;�sterg�tland;x
3;128;38;192;Sm�land;x
4;0;40;255;Bergslagen;x
5;128;42;0;V�rmland;x
6;0;44;64;Sk�ne;x
7;129;46;128;V�sterg�tland;x
8;1;48;192;Dalaskogen;x
9;129;50;255;H�lsingland;x
10;1;52;0;J�mtland;x
11;129;54;64;V�sterbotten;x
12;1;56;128;Sj�lland;x
13;129;58;192;Slesvig;x
14;2;60;255;Fyn;x
15;130;62;0;Midtjylland;x
16;2;64;64;Bohusl�n;x
17;130;66;128;Akershus;x
18;2;68;192;Ume�;x
19;130;70;255;�sterbotten;x
20;2;72;0;Tr�ndelag;x
21;131;74;64;H�logaland;x
22;3;76;128;Oplandene;x
23;131;78;192;Bergenshus;x
24;3;80;255;Stavanger;x
25;131;82;0;Gotland;x##
26;3;220;250;Halland;x##lakes
27;62;234;252;Finland;x
28;7;220;250;Nyland;x
29;25;200;200;Tavastland;x
30;118;200;250;Viborg;x
31;2;0;240;Savolax;x
32;62;230;252;Kexholm;x#
33;5;200;200;Neva;x
34;62;218;252;Ingermanland;x
35;9;200;200;osel;x
36;6;200;250;Estland;x
37;8;250;250;Livland;x
38;4;250;250;Riga;x
39;18;200;250;Kurland;x
40;5;112;0;Memel;x
41;5;156;193;Ostpreussen;x
42;6;116;128;Warmia;x
43;40;177;211;Danzig;x
44;20;150;183;Hamburg;x
45;80;199;229;L�beck;x##
46;6;124;64;Kyath 1;x###start, Kyath Kingdom
47;134;126;128;Kyath 2;x
48;6;128;192;Kajhyrhei;x#ylasemyva end
49;135;130;255;Kyath 3;x
50;7;132;0;Kyath 4;x
51;135;134;64;Kyath 5;x
52;7;136;128;Kyath 6;x#oruinyal
53;135;138;192;Oruinyal;x
54;7;140;255;Kyath 8;x
55;135;142;0;Kyath 9;x
56;8;144;64;Kyath 10;x#lower mytn
57;136;146;128;Kyath 11;x
58;8;148;192;Kyath 12;x
59;136;150;255;Kyath 13;x#upper mytn
60;8;152;0;Kyath 14;x
61;136;154;64;Kyath 15;x
62;8;156;128;Kyath 16;x
63;137;158;192;Kyath 17;x#
64;9;32;255;Kyath 18;x
65;137;34;0;Kyath 19;x
66;9;36;64;Matle;x
67;137;38;128;Kyath 20;x
68;9;40;192;Kyath 21;x#elraithe
69;137;42;255;Kyath 22;x
70;10;44;0;Kyath 23;x
71;138;46;64;Kyath 24;x
72;10;48;128;Kyath 25;x
73;138;50;192;Kyath 26;x#upper indoranas
74;10;52;255;Kyath 27;x
75;138;54;0;Kyath 28;x
76;10;56;64;Kyath 29;x#lower indoranas
77;139;58;128;Iwenlumy 1;x##Iwenlumy
78;11;60;192;Iwenlumy 2;x
79;139;62;255;Iwenlumy 3;x#
80;11;64;0;Iwenlumy;x
81;139;66;64;Iwenlumy 4;x
82;16;68;128;Iwenlumy 5;x
83;139;70;192;Iwenlumy 6;x##
84;12;72;255;Kyatlasia 1;x##Kyatlasia (theocracy)
85;140;74;0;Kyatlas;x
86;12;76;64;Kyatlasia 2;x
87;140;78;128;Kyatlasia 3;x
88;12;80;192;Kyatlasia 4;x##
89;140;82;255;Anores 1;x##Anores
90;12;84;0;Anores 2;x
91;141;86;64;Tlind;x
92;13;88;128;Anores 3;x#
93;141;90;192;Anores 4;x
94;13;92;255;Anores 5;x
95;141;94;0;Anores 6;x##
96;13;96;64;Titar 1;x##Titar
97;141;98;128;Titar;x
98;14;100;192;Titar 3;x
99;142;102;255;Titar 4;x##
100;14;104;0;Titar 5;x#titar ocupied by matnolu
101;142;106;64;Matnolu 1;x##Matnolu
102;14;108;128;Nionerin;x
103;85;80;32;Matnolu 3;x
104;14;112;255;Matnolu 4;x##
105;143;114;0;Lurt 1;x##Lurt
106;15;116;64;Himlunyese;x
107;143;118;128;Lurt 3;x
108;15;120;192;Lurt 4;x
109;143;122;255;Lurt 5;x###, Kyath end
110;6;169;206;Trent;x##more ocean
111;61;203;219;Friuli;x
112;24;160;175;Venezia;x
113;61;206;219;Ferrara;x
114;88;182;188;Romagna;x
115;73;219;229;Pisa;x
116;15;186;198;Firenze;x#
117;144;138;128;Siena;x##more impassable
118;16;140;192;Roma;x
119;145;142;255;Ancona;x
120;17;144;0;Abbruzzi;x
121;145;146;64;Napoli;x
122;17;148;128;Apulia;x
123;145;150;192;Calabria;x
124;17;152;255;Messina;x
125;145;154;0;Palermo;x
126;18;156;64;Malta;x
127;146;158;128;Sardinia;x
128;18;32;192;Kasten;x
129;146;34;255;Krain;x
130;18;36;0;Istria;x
131;146;38;64;Croatia;x
132;18;40;128;Steiermark;x
133;147;42;192;Linz;x
134;19;44;255;Wien;x
135;147;46;0;Sopron;x
136;19;48;64;Dalmatia;x
137;147;50;128;Ragusa;x
138;19;52;192;Zeta;x
139;147;54;255;Hum;x
140;20;56;0;Bosnia;x
141;148;58;64;Serbia;x
142;20;60;128;Corfu;x
143;148;62;192;Albania;x
144;20;64;255;Janina;x
145;148;66;0;Morea;x
146;20;68;64;Athens;x
147;149;70;128;Salonica;x
148;21;72;192;Macedonia;x##
149;149;74;255;Edirne;x
150;21;76;0;Bulgaria;x
151;149;78;64;Thrace;x
152;21;80;128;Slavonia;x
153;149;82;192;Pecs;x
154;22;84;255;Ersekujvar;x
155;150;86;0;Szolnok;x
156;22;88;64;Banat;x
157;150;90;128;Partium;x
158;22;92;192;Transylvania;x##
159;6;180;219;Silistria;x###
160;17;178;219;Oltenia;x
161;17;176;216;Wallachia;x
162;62;192;224;Carpathia;x
163;45;200;239;Crete;x
164;102;155;255;Naxos;x
165;25;155;255;Bern;x
166;96;186;255;Schwyz;x#
167;50;203;253;Caux;x
168;52;253;253;Normandie;x
169;53;203;203;Armor;x
170;51;223;253;Finistas;x
171;54;203;253;Morbihan;x
172;55;223;253;Vend;x
173;56;253;253;Labourd;x
174;57;203;203;Gascogne;x
175;81;203;203;Armagnac;x
176;72;203;253;Basn;x
177;60;253;253;Maine;x
178;111;223;253;Anjou;x
179;69;253;253;Berry;x
180;66;203;253;Poitou;x
181;82;203;253;Valenciennes;x
182;63;223;253;Vermandois;x
183;61;203;203;Pase-de-France;x
184;104;203;203;Orlasnais;x
185;64;253;253;Nemours;x
186;59;223;253;Champagne;x
187;103;223;253;Barrois;x
188;100;253;253;Metz;x
189;62;203;252;Lothringen;x
190;101;203;203;Bourbon;x
191;97;203;253;Nevers;x
192;97;253;253;Bourgogne;x
193;44;224;224;Franche-Comt;x
194;58;242;242;Pasgord;x
195;28;206;206;Limousin;x
196;20;213;229;Toulouse;x
197;16;172;183;Roussillon;x
198;51;222;234;Rouergue;x
199;24;244;248;Auvergne;x
200;20;203;206;Languedoc;x
201;35;174;236;Toulon;x
202;8;217;255;Avignon;x
203;4;198;221;Lyonnais;x
204;55;195;211;Dauphin;x
205;55;159;240;Savoie;x
206;26;198;239;Galicia;x
207;47;163;239;Asturias;x
208;85;221;239;Le;x
209;51;205;209;Vizcaya;x
210;20;231;234;Navarra;x
211;4;201;248;Pirineo;x
212;4;179;219;Girona;x
213;83;223;253;Barcelona;x##
214;30;76;255;Zaragoza;x
215;0;154;188;Castilla La Vieja;x
216;32;250;250;Salamanca;x
217;47;232;203;Madrid;x
218;20;215;229;Badajoz;x
219;159;86;255;Toledo;x##
220;11;182;229;Valasia;x
221;45;198;221;Murcia;x
222;35;174;255;Almer;x
223;30;225;255;Granada;x
224;12;158;255;Andaluc;x
225;138;233;255;Casalba;x
226;25;212;229;Gibraltar;x
227;29;192;242;Lisboa;x
228;38;233;255;Beira;x
229;73;191;255;Beja;x
230;37;198;219;Algarve;x
231;85;190;219;Porto;x
232;21;219;216;Bragan;x
233;87;199;219;Cornwall;x
234;37;201;234;Wessex;x
235;33;169;255;Kent;x
236;56;221;255;London;x
237;30;172;255;Oxfordshire;x
238;48;228;255;Essex;x
239;104;224;255;Gloucestershire;x
240;22;209;255;Shrewsbury;x
241;35;236;255;Glamorgan;x
242;130;219;255;Gwynedd;x
243;43;170;255;Lincoln;x
244;34;136;255;Lancashire;x
245;84;209;255;Yorkshire;x
246;61;184;229;Northumberland;x
247;98;205;229;Cumbria;x
248;0;226;215;Lothian;x
249;72;219;232;Ayrshire;x
250;57;186;229;Perth;x
251;68;218;229;Aberdeen;x
252;117;223;229;Inverness;x
253;39;198;228;Outer Hebrides;x
254;75;181;234;Poznan;x
255;44;228;234;Kalisz;x
256;42;160;234;Plock;x#
257;98;202;252;Mazovia;x##
258;104;252;252;Lodz;x
259;103;222;252;Sandomir;x
260;102;202;252;Galicien;x
261;89;202;202;Halicz;x
262;97;202;202;Krakow;x
263;99;222;252;Ratibor;x
264;100;252;252;Breslau;x
265;101;202;202;Moravia;x
266;88;252;252;Bohemia;x
267;83;222;252;Plsen;x
268;84;252;252;Bessarabia;x
269;85;202;202;Podlasia;x
270;87;222;252;Troki;x
271;94;202;252;Samogitia;x
272;95;222;252;Lithuania;x
273;96;252;252;Letgallen;x##
274;80;252;252;Pskov;x
275;81;202;202;Polotsk;x
276;93;202;202;Minsk;x
277;92;252;252;Grodno;x
278;91;222;252;Polesia;x
279;79;222;252;Volhynia;x
280;78;202;252;Kiev;x
281;77;252;202;Podolia;x
282;76;222;222;Yedisan;x
283;76;252;232;Zaporozhia;x
284;75;202;192;Crimea;x
285;73;242;212;Kaffa;x
286;86;202;252;Azow;x
287;73;252;232;Kouban;x#
288;18;216;226;Cherkassk;x
289;31;171;226;Chernigov;x
290;47;194;226;Poltava;x
291;55;219;226;Kharkov;x
292;49;191;196;Mogilyov;x
293;28;205;209;Smolensk;x
294;31;221;224;Tver;x
295;33;217;242;Moskva;x
296;71;191;224;Kaluga;x
297;62;216;228;Bryansk;x
298;42;116;192;Kursk;x
299;57;194;204;Voronezh;x
300;39;228;204;Tula;x
301;58;186;221;Ryazan;x
302;66;205;232;Tambow;x
303;117;188;229;Saratow;x
304;55;203;229;Pensa;x
305;36;229;226;Perm;x
306;59;212;229;Nijni-Novgorod;x
307;81;226;205;Vladimir;x#
308;31;211;228;Yaroslavl;x
309;172;138;255;Olonets;x
310;69;160;216;Novgorod;x
311;28;228;216;Kholm;x
312;93;224;226;Vologda;x
313;22;229;219;Archangelsk;x
314;82;227;248;Ustyug;x
315;140;242;232;Finnmark;x
316;57;239;218;Kocaeli;x
317;81;226;239;H�davendigar;x
318;110;239;226;Sugla;x
319;43;239;226;Mentese;x
320;70;209;216;Rhodes;x
321;82;214;211;Cyprus;x
322;131;202;211;K�tahya;x
323;57;211;228;Konya;x
324;35;232;205;Karaman;x
325;64;218;229;Kastamonu;x
326;25;199;211;Ankara;x
327;55;167;211;Adana;x
328;29;211;208;Sinop;x
329;35;194;211;Sivas;x
330;46;192;211;Trebizond;x
331;82;212;219;Erzurum;x
332;54;216;189;Marash;x
333;24;160;173;The Baleares;x#
334;47;60;255;Tangiers;x
335;33;229;255;Mellila;x
336;31;217;242;Tlemcen;x
337;61;189;206;Oran;x
338;35;201;221;Al-Djazair;x
339;96;200;219;Kabylia;x
340;17;189;219;Constantine;x
341;35;204;234;Tunis;x
342;48;76;128;Toubkhal;x
343;58;223;244;Fez;x
344;111;216;242;Marrakech;x
345;36;242;225;Safi;x
346;79;217;242;Figuig;x
347;79;239;220;Ifni;x
348;2;184;229;Sus;x
